回数,入力キー,押下時間,反応時間
1,p,0.1350011999999996,0.5223502
2,p,0.08790989999999965,0.2976054999999995
3,p,0.08524889999999985,0.443257899999999
4,p,0.0960176999999991,0.32065700000000064
5,p,0.09998259999999881,0.2427349000000003
6,p,0.1078394999999972,0.36714730000000273
7,p,0.07592389999999938,0.2869576000000009
8,p,0.09594549999999913,0.28705360000000013
9,p,0.0920652000000004,0.2586637999999972
10,p,0.15579490000000007,0.2954112000000002
11,p,0.08796489999999935,0.26246650000000216
12,p,0.07994769999999818,0.3690750999999999
13,p,0.10778060000000167,0.2547967
14,p,0.10797870000000032,0.18698599999999743
15,p,0.11636730000000028,0.1625887999999982
16,q,0.1360758000000004,0.3032250999999988
17,q,0.12789450000000357,0.21898719999999372
18,q,0.1160617999999971,0.22270149999999944
19,q,0.14403760000000432,0.2372194999999948
20,q,0.09604760000000567,0.24828649999999897
21,q,0.09198599999999857,0.17307389999999856
22,q,0.09598640000000103,0.19289129999999943
23,q,0.12411889999999914,0.19558899999999824
24,q,0.12042970000000253,0.21674619999999578
25,q,0.103958200000001,0.16915139999999695
26,q,0.12400170000000088,0.17776560000000075
27,q,0.12407139999999828,0.1905015999999975
28,q,0.12810049999999507,0.19929630000000031
29,q,0.14016540000000077,0.1514170999999962
30,q,0.13996080000000433,0.17581349999999674
31,o,0.11196590000000128,0.3248938999999993
32,o,0.08786159999999654,0.17308350000000416
33,o,0.10016569999999803,0.241212400000002
34,o,0.07988310000000354,0.18507139999999822
35,o,0.11187520000000006,0.12919630000000382
36,o,0.11993460000000056,0.11503710000000211
37,o,0.08394839999999704,0.15901360000000153
38,o,0.12377109999999902,0.1987938999999983
39,o,0.10790799999999479,0.11825749999999857
40,o,0.10391749999999433,0.1390858000000037
41,o,0.12809009999999432,0.24694180000000188
42,o,0.08000119999999811,0.10645720000000836
43,o,0.09192999999999074,0.2989227999999997
44,o,0.10785909999999888,0.4148719000000085
45,o,0.07209220000000016,0.26627840000000447
46,w,0.11588799999999821,0.7550080999999977
47,w,0.1120628000000039,0.17122940000000142
48,w,0.10800949999999432,0.10718599999999867
49,w,0.11214350000000195,0.11056990000000155
50,w,0.14374019999999632,0.08793599999999913
51,w,0.15200919999999485,0.19529939999999613
52,w,0.12410599999999761,0.33493529999999794
53,w,0.10813840000000141,0.10311869999999601
54,w,0.10001800000000571,0.13087999999999056
55,w,0.09599209999998948,0.2029785000000004
56,w,0.07994310000000837,0.14891029999999716
57,w,0.0959086999999954,0.14921819999999286
58,w,0.09982100000000571,0.1403854999999936
59,w,0.075770200000008,0.20438719999999932
60,w,0.11593019999999399,0.1691756999999967
