interval:0.2sec
回数,入力キー,押下時間,反応時間
1,p,0.10696959999999933,0.3744379000000002
2,;,0.11589279999999746,0.746229600000003
3,p,0.0799903999999998,0.26511930000000206
4,;,0.1199306,0.41713860000000125
5,p,0.09968149999999909,0.3213234999999983
6,;,0.12380020000000158,0.3182451999999998
7,p,0.10796969999999817,0.31428470000000175
8,;,0.11964499999999845,0.29546140000000065
9,p,0.10416610000000048,0.3689076999999976
10,;,0.13605659999999986,0.3586646999999985
11,p,0.09997579999999928,0.31330349999999996
12,;,0.11620040000000031,0.36923420000000107
13,p,0.10816130000000257,0.2831129999999966
14,;,0.08013610000000071,0.2932686999999987
15,p,0.06798290000000051,0.36512730000000104
16,;,0.1163753000000014,0.30723569999999967
17,p,0.09204779999999957,0.30808130000000133
18,;,0.09998960000000068,0.2691057999999984
19,p,0.08784629999999893,0.3174309000000015
20,;,0.0835132999999999,0.32857460000000316
21,q,0.09954580000000135,0.517212899999997
22,a,0.14409639999999513,0.44038680000000596
23,q,0.14400630000000092,0.2571595000000002
24,a,0.14805490000000532,0.2909680999999935
25,q,0.14395539999999585,0.3220109000000022
26,a,0.1080393000000015,0.2729065999999989
27,q,0.11606110000000314,0.3249750999999961
28,a,0.1316849999999974,0.20134970000000152
29,q,0.11206409999999778,0.23354280000000216
30,a,0.1399082000000007,0.2145688000000021
31,q,0.10783190000000076,0.35125659999999925
32,a,0.1158709999999985,0.23333559999999665
33,q,0.10002500000000225,0.28858470000000125
34,a,0.1320452000000003,0.2551491999999982
35,q,0.11998599999999726,0.2051360000000031
36,a,0.17979299999999654,0.30901130000000165
37,q,0.0960090999999963,0.2299733000000046
38,a,0.09201359999999426,0.1972903000000059
39,q,0.10799820000000437,0.31518950000000245
40,a,0.1359650000000059,0.23131279999999776
41,o,0.12372119999999143,0.41302430000000356
42,l,0.08416909999999689,0.41071499999999617
43,o,0.11591850000000647,0.322803499999992
44,l,0.056038400000005595,0.21480259999999873
45,o,0.07997500000000457,0.3030971999999963
46,l,0.11984390000000644,0.2927861999999948
47,o,0.06796340000001067,0.24334129999999732
48,l,0.08388890000000515,0.2893242999999899
49,o,0.07998510000000181,0.2872054999999989
50,l,0.0755424999999974,0.22752050000001134
51,o,0.09998290000000054,0.22970450000001108
52,l,0.10393969999999797,0.26598409999999717
53,o,0.08810560000000578,0.27910569999998813
54,l,0.08811099999999783,0.18756220000000212
55,o,0.08801420000000348,0.245214500000003
56,l,0.09987339999999278,0.20707040000000632
57,o,0.06785120000000688,0.25790469999999743
58,l,0.08419859999999346,0.22535150000000215
59,o,0.12390820000000247,0.1774156999999974
60,l,0.09609469999999476,0.1392350999999934
61,w,0.08405890000000227,0.3632077000000038
62,s,0.11594829999999945,0.2851070999999905
63,w,0.09166879999999367,0.2333491000000123
64,s,0.08806779999999037,0.3220011000000085
65,w,0.10392879999999138,0.25086230000000853
66,s,0.10797959999999307,0.2667101000000116
67,w,0.08393530000000737,0.26307799999999304
68,s,0.11607270000000369,0.22178490000000295
69,w,0.09595939999999814,0.33843060000000946
70,s,0.031706700000000865,0.2774473999999998
71,w,0.08441919999999925,0.2771831999999961
72,s,0.11602449999999465,0.2041401000000036
73,w,0.09593870000000493,0.3004219999999975
74,s,0.09592470000001185,0.21931449999999586
75,w,0.08009409999999662,0.26304079999999885
76,s,0.12406329999998889,0.3774189000000092
77,w,0.12403969999999731,0.20914779999999666
78,s,0.09999720000000423,0.13902860000000317
79,w,0.13198189999999954,0.268152299999997
80,s,0.11204039999999793,0.20961280000000215
