âÒêî,ì¸óÕÉLÅ[,âüâ∫éûä‘,îΩâûéûä‘
1,p,0.15895929999999936,0.7302873999999999
2,p,0.09608879999999864,0.3168962000000004
3,p,0.12383890000000086,0.2250508
4,p,0.10399469999999944,0.3042341999999998
5,p,0.09601440000000139,0.17221909999999951
6,p,0.14427839999999925,0.22029509999999952
7,p,0.11202980000000018,0.32137879999999974
8,p,0.1562058999999998,0.5046636000000007
9,p,0.08398310000000109,0.3879439999999992
10,p,0.1280941000000002,0.2371434999999984
11,p,0.10417440000000155,0.2627024999999996
12,p,0.10398460000000043,0.23265909999999934
13,p,0.06774259999999899,0.42929750000000055
14,p,0.11589269999999985,0.45409450000000007
15,p,0.09997900000000115,0.4428087999999981
16,q,0.12006930000000438,0.5632838000000007
17,q,0.15198790000000173,0.25918240000000026
18,q,0.10797420000000102,0.2748954999999995
19,q,0.14396789999999982,0.24120860000000022
20,q,0.11604379999999992,0.16897090000000503
21,q,0.10819970000000012,0.10903189999999796
22,q,0.13597320000000224,0.2551520000000025
23,q,0.12384449999999703,0.2990318000000016
24,q,0.0999860999999953,0.21524560000000292
25,q,0.1079919000000018,0.2620861999999988
26,q,0.12398260000000505,0.2358020999999937
27,q,0.11589799999999428,0.15068150000000458
28,q,0.06793100000000152,0.1869185999999985
29,q,0.07982099999999548,0.24716000000000093
30,q,0.09185819999999012,0.13504660000000968
31,o,0.09991069999999524,0.2594542000000075
32,o,0.07192870000000084,0.318947399999999
33,o,0.08397370000000137,0.20508970000000204
34,o,0.0759767999999923,0.15728670000000022
35,o,0.08005470000000514,0.3189548000000002
36,o,0.11993660000000261,0.5952719000000002
37,o,0.11198110000000838,0.22330739999999594
38,o,0.08796699999999191,0.24735080000000664
39,o,0.12389449999999158,0.22289980000000753
40,o,0.10824510000000487,0.2143779999999964
41,o,0.08797219999999584,0.15399950000001184
42,o,0.08006179999999574,0.20727790000000823
43,o,0.09602240000000961,0.12314469999999744
44,o,0.08005930000000205,0.16687240000000259
45,o,0.09593560000000423,0.1031710999999973
46,w,0.13162630000000775,0.45102099999999723
47,w,0.0723435999999964,0.23095809999999517
48,w,0.10390280000000018,0.15532869999999832
49,w,0.11203340000000139,0.1830233000000021
50,w,0.07607260000000338,0.18605209999999772
51,w,0.09990069999999207,0.17716870000000995
52,w,0.0998858000000098,0.31168239999999514
53,w,0.10785520000000304,0.14334589999999992
54,w,0.12026609999999494,0.2348259999999982
55,w,0.10400830000000383,0.2572685000000092
56,w,0.11607799999998747,0.2271551000000045
57,w,0.14405510000000277,0.20326549999998633
58,w,0.12011370000001875,0.1751924999999801
59,w,0.13200910000000476,0.21921439999999848
60,w,0.11186749999998824,0.23824840000000336
