回数,入力キー,押下時間,反応時間
1,p,0.19502859999999966,0.7954479000000001
2,p,0.06399099999999969,0.7890394000000001
3,p,0.07584750000000007,0.9080811999999998
4,p,0.1079396999999993,0.8638974000000008
5,p,0.13997859999999918,0.5880596000000011
6,p,0.11998059999999988,0.47719569999999933
7,p,0.13215710000000058,0.6916249000000008
8,p,0.14413499999999857,0.5564646000000018
9,p,0.11992310000000117,0.565548800000002
10,p,0.14017100000000227,0.5476184999999987
11,p,0.1798975000000027,0.45242119999999986
12,p,0.16007940000000076,0.5524301000000023
13,p,0.14387040000000084,0.5498417999999994
14,p,0.1439099000000006,0.4901540000000004
15,p,0.12385540000000006,0.4301238000000005
16,q,0.10797429999999508,0.3282681000000025
17,q,0.119977200000001,0.21106430000000387
18,q,0.11997079999999727,0.25339950000000044
19,q,0.11581070000000437,0.270612799999995
20,q,0.1080607000000029,0.15398799999999824
21,q,0.16839470000000034,0.3700698999999972
22,q,0.10807789999999784,0.18082880000000046
23,q,0.07206800000000158,0.19711110000000076
24,q,0.11612109999999376,0.11402000000000356
25,q,0.10416970000000703,0.35306379999999393
26,q,0.05997509999999551,0.4489190000000036
27,q,0.044376700000000824,0.48174070000000313
28,q,0.10410610000000275,0.27616229999999575
29,q,0.0678783999999979,0.267873299999998
30,q,0.06809169999999654,0.29404949999999985
31,o,0.09707650000000001,0.31404810000000083
32,o,0.09976540000000256,0.23101079999999996
33,o,0.0683006000000006,0.22245699999999857
34,o,0.08398120000000375,0.25842879999999724
35,o,0.07998609999999928,0.196895099999999
36,o,0.05214329999999734,0.20025309999999763
37,o,0.08387099999999492,0.20991479999999996
38,o,0.048011200000004806,0.2136878999999965
39,o,0.07998669999999919,0.1371848
40,o,0.058812999999993565,0.28167490000000583
41,o,0.055968499999998755,0.29609049999999826
42,o,0.07180580000000703,0.27203129999999476
43,o,0.05986040000000514,0.23217110000000218
44,o,0.06419960000000913,0.4519779999999969
45,o,0.08030580000000498,0.250218899999993
46,w,0.10005189999999686,0.43009630000000243
47,w,0.11599309999999718,0.17028419999999755
48,w,0.09198310000000731,0.17591469999999276
49,w,0.10832940000000235,0.37058360000000334
50,w,0.1162945000000093,0.0836812000000009
51,w,0.10398619999999426,0.2679126000000025
52,w,0.09213389999999322,0.1126780000000025
53,w,0.11998850000000516,0.18499570000000176
54,w,0.08793040000000474,0.13037450000000206
55,w,0.08425929999999937,0.18090420000000051
56,w,0.06768209999999897,0.23060139999999762
57,w,0.09587109999999655,0.17675479999999766
58,w,0.0878119000000055,0.15105429999999842
59,w,0.11597349999999551,0.18836869999999806
60,w,0.1208014999999989,0.12995659999999987
