âÒêî,ì¸óÕÉLÅ[,âüâ∫éûä‘,îΩâûéûä‘,âE
1,p,0.1231169,0.5829855,ç∂
2,;,0.1801815,0.6204726,
3,p,0.1320867,0.2077265,
4,;,0.0839728,0.2932443,
5,p,0.1118914,0.3570976,
6,;,0.1039598,0.2672105,
7,p,0.1119256,0.2398898,
8,;,0.0759025,0.2750423,
9,p,0.1320243,0.3438883,
10,;,0.1120315,0.1610623,
11,p,0.1120528,0.1323019,
12,;,0.1002974,0.3348654,
13,p,0.0920454,0.1502545,
14,;,0.1159991,0.1994662,
15,p,0.108002,0.245175,
16,;,0.0679937,0.326918,
17,p,0.1119667,0.379899,
18,;,0.1079717,0.2302049,
19,p,0.1199895,0.2082262,
20,;,0.0921184,0.1878698,
21,q,0.0840322,0.4568467,
22,a,0.1120871,0.2531023,
23,q,0.0800385,0.270688,
24,a,0.1280002,0.1172667,
25,q,0.095986,0.166089,
26,a,0.108003,0.0752704,
27,q,0.0759078,0.2010039,
28,a,0.1239974,0.0890233,
29,q,0.1440449,0.2471906,
30,a,0.1319467,0.2115339,
31,q,0.1161326,0.1710087,
32,a,0.0957955,0.1252685,
33,q,0.1039927,0.1473427,
34,a,0.1319411,0.0852711,
35,q,0.0840126,0.1399816,
36,a,0.1239317,0.1452587,
37,q,0.0959896,0.0992302,
38,a,0.1079133,0.1054669,
39,q,0.1240481,0.1430148,
40,a,0.1319962,0.1210884,
41,o,0.0480419,0.6007204,
42,l,0.0919978,0.5218732,
43,o,0.0879891,0.0391801,
44,l,0.0799923,0.1465884,
45,o,0.0759728,0.0497394,
46,l,0.0798299,0.0591459,
47,o,0.0598646,0.116654,
48,l,0.0359918,0.2699226,
49,o,0.1360312,0.2611733,
50,l,0.0999115,0.0381981,
51,o,0.0799621,0.0272332,
52,l,0.1119748,0.071972,
53,o,0.1079994,0.0093821,
54,l,0.1040085,0.0831715,
55,o,0.1039059,0.0549139,
56,l,0.1240123,0.1682772,
57,o,0.1080235,0.011904,
58,l,1.2641484,0.0830005,
59,o,0.0959139,0.0794069,
60,l,1.3439645,0.0553989,
61,w,0.1318658,0.2645045,
62,s,0.1160959,0.0412464,
63,w,0.1039278,0.276126,
64,s,0.1437883,0.2711876,
65,w,0.0959695,0.0860927,
66,s,0.1121655,0.1499172,
67,w,0.0639988,0.1772124,
68,s,0.1279992,0.1414899,
69,w,0.1280627,0.2110129,
70,s,0.1119464,0.3213802,
71,w,0.0959852,0.207283,
72,s,0.1318572,0.2453587,
73,w,0.1319566,0.2283092,
74,s,0.103958,0.1661837,
75,w,0.1279981,0.3833639,
76,s,0.1440711,0.0910924,
77,w,0.1196751,0.1293664,
78,s,0.1000164,0.1235964,
79,w,0.1011136,0.2240884,
80,s,0.1359171,0.0409245,
