interval:0.3sec
回数,入力キー,押下時間,反応時間
1,p,0.11897800000000025,0.3264403999999992
2,;,0.06821669999999891,0.42504200000000125
3,p,0.0959809000000007,0.24514570000000013
4,;,0.14030360000000108,0.3163608999999994
5,p,0.08409089999999964,0.2398176000000003
6,;,0.10398849999999982,0.2089943999999999
7,p,0.09197680000000119,0.2882152999999992
8,;,0.09595309999999913,0.2918471999999994
9,p,0.08806270000000005,0.3248350000000002
10,;,0.05192530000000062,0.19721299999999964
11,p,0.10387349999999884,0.23731689999999972
12,;,0.10442739999999873,0.18397129999999962
13,p,0.12412219999999863,0.1890554999999985
14,;,0.09990829999999917,0.2728541
15,p,0.11198719999999796,0.2731166000000016
16,;,0.0758240999999984,0.225230100000001
17,p,0.10382570000000158,0.20305469999999914
18,;,0.0640533000000012,0.20482599999999707
19,p,0.10000760000000142,0.1849671999999991
20,;,0.1201439999999998,0.2477488000000001
21,q,0.11575720000000445,0.3650582
22,a,0.13602230000000048,0.4292122999999961
23,q,0.13170499999999663,0.18094100000000424
24,a,0.12789959999999923,0.1734514000000047
25,q,0.06392849999999584,0.21256430000000393
26,a,0.10794870000000145,0.21395989999999898
27,q,0.1241491000000039,0.24620379999999642
28,a,0.10405760000000441,0.16105170000000157
29,q,0.1320276000000007,0.3134303000000003
30,a,0.09983409999999537,0.156242000000006
31,q,0.10816510000000079,0.16035860000000213
32,a,0.11176619999999815,0.12681200000000104
33,q,0.08791569999999638,0.2775486000000029
34,a,0.1121266000000034,0.10527659999999628
35,q,0.07567779999999402,0.17903930000000656
36,a,0.0960214999999991,0.21742309999999776
37,q,0.11572669999999619,0.20525160000000398
38,a,0.09992319999999921,0.1672204999999991
39,q,0.0637560999999991,0.3046924000000004
40,a,0.10798089999999405,0.17371890000000434
41,o,0.10002690000000314,0.29720899999999517
42,l,0.07607629999999688,0.3202044000000086
43,o,0.09207539999999881,0.10498470000000282
44,l,0.08012519999999768,0.11856709999999282
45,o,0.08385509999999385,0.1674959000000058
46,l,0.07618910000000767,0.14906979999999237
47,o,0.11190949999999589,0.45879779999999926
48,l,0.06780229999999676,0.2604127000000034
49,o,0.07568829999999593,0.13751790000000597
50,l,0.05604050000000882,0.1094223999999997
51,o,0.09198849999999936,0.29019610000000284
52,l,0.09207200000000171,0.15711340000000007
53,o,0.06797729999999547,0.18520490000000223
54,l,0.10404859999999871,0.11637280000000771
55,o,0.11217290000000446,0.10278879999999901
56,l,0.10000320000000329,0.11318109999999137
57,o,0.08408780000000604,0.16113849999999275
58,l,0.05585409999999058,0.14595420000000559
59,o,0.10807610000000523,0.5980670000000003
60,l,0.10802929999999833,0.1171553000000074
61,w,0.13195650000000114,0.423150899999996
62,s,0.08812390000001358,0.21228219999998998
63,w,0.1399448000000092,0.21545049999998866
64,s,0.10788609999998755,0.13775250000000483
65,w,0.10408479999999543,0.18105920000000708
66,s,0.10077809999999943,0.12663759999999513
67,w,0.10398829999999748,0.15813580000001082
68,s,0.09591809999999157,0.07516800000000501
69,w,0.10393059999999821,0.16433250000000044
70,s,0.08393019999999751,0.14004649999999685
71,w,0.08800709999999867,0.12428210000000206
72,s,0.11203559999999868,0.13684289999999066
73,w,0.0798544000000021,0.15463730000000453
74,s,0.11617999999999995,0.19307270000000187
75,w,0.09187599999999918,0.22931679999999233
76,s,0.11202510000001098,0.230643299999997
77,w,0.09580489999999031,0.15352610000000766
78,s,0.10402799999999957,0.2290611000000098
79,w,0.0840232000000043,0.1689814999999868
80,s,0.11999489999999469,0.23302730000000338
