ï∂éö,âÒêî,âüâ∫éûä‘,îΩâûéûä‘
1,p,0.1027684,0.450984
2,;,0.1079036,0.2352761
3,p,0.1000198,0.1813319
4,;,0.1439406,0.1366513
5,p,0.1119977,0.2511207
6,;,0.1440289,0.0791585
7,p,0.1279103,0.1394386
8,;,0.1160312,0.1009091
9,p,0.1202291,0.1708614
10,;,0.1481107,0.0783033
11,p,0.1281703,0.0978712
12,;,0.0921635,0.0672641
13,p,0.1200963,0.130937
14,;,0.1078844,0.0757665
15,p,0.1000211,0.1100494
16,;,0.1040845,0.0471227
17,p,0.0999837,0.0949801
18,;,0.0961095,0.0441395
19,p,0.1079756,0.1413262
20,;,0.124011,0.0590535
21,q,0.1116555,0.6124748
22,a,0.1320079,0.2272231
23,q,0.0958874,0.1721616
24,a,0.1118709,0.109791
25,q,0.1039689,0.2472845
26,a,0.1159817,0.1343844
27,q,0.0759033,0.075201
28,a,0.1240008,0.0948386
29,q,0.1279728,0.0891929
30,a,0.1119038,0.0871287
31,q,0.1081361,0.1020943
32,a,0.096006,0.0899094
33,q,0.1319536,0.0429694
34,a,0.1079012,0.0392633
35,q,0.1040771,0.0130336
36,a,0.1195631,0.0057793
37,q,0.1120385,0.1276613
38,a,0.1118857,0.0309907
39,q,0.1158714,0.0634039
40,a,0.1043457,0.0160397
41,o,0.0957841,0.3607876
42,l,0.1042935,0.1833325
43,o,0.0915074,0.1001882
44,l,0.0760007,0.0811169
45,o,0.1320988,0.0642495
46,l,0.087967,0.1448092
47,o,0.1041183,0.0411897
48,l,0.0597551,0.0294492
49,o,0.0919246,0.1608166
50,l,0.1000854,0.0865125
51,o,0.0560926,0.1341143
52,l,0.0920953,0.1107883
53,o,0.103942,0.0882578
54,l,0.1041168,0.0340637
55,o,0.1401721,0.098838
56,l,0.084054,0.0731088
57,o,0.0959908,0.0232629
58,l,0.072098,0.0611212
59,o,0.0998444,0.0736576
60,l,0.1039595,0.0671442
61,w,0.1276292,0.41756
62,s,0.1238828,0.1035801
63,w,0.0879118,0.1030194
64,s,0.1120251,0.0552531
65,w,0.0998459,0.0751269
66,s,0.1235821,0.0277485
67,w,0.096023,0.0962572
68,s,0.1279921,0.1752086
69,w,0.0959568,0.0817139
70,s,0.1442149,0.0541086
71,w,0.0958629,0.1080358
72,s,0.080227,0.0430169
73,w,0.0921026,0.1335377
74,s,0.1159255,0.0542251
75,w,0.1119196,0.1055915
76,s,0.1200055,0.0868944
77,w,0.1040563,0.1910855
78,s,0.900061,0.1107582
79,w,0.103801,0.1554433
80,s,0.0999895,0.0172577
