count,key,pressing_time,reaction_speed,
1,p,0.1110227,0.8933612,âE
2,;,0.1401352,0.3410325,ç∂
3,p,0.1396253,0.2400707,
4,;,0.1120182,0.2252511,
5,p,0.1075709,0.4387181,
6,;,0.1080735,0.2552417,
7,p,0.1000974,0.2193337,
8,;,0.1276203,0.2211572,
9,p,0.1438078,0.2206579,
10,;,0.0717534,0.2005754,
11,p,0.1400777,0.2540694,
12,;,0.2011869,0.1899335,
13,p,0.1479948,0.225969,
14,;,0.1001851,0.1380224,
15,p,0.0918482,0.1803382,
16,;,0.0921801,0.1541617,
17,p,0.1359241,0.3779844,
18,;,0.087812,0.1574507,
19,p,0.1000025,0.1383599,
20,;,0.111789,0.1498621,
21,q,0.1000303,0.4000333,
22,a,0.1677681,0.1685938,
23,q,0.0919628,0.1626645,
24,a,0.1919421,0.1392209,
25,q,0.1280449,0.1865939,
26,a,0.1322314,0.1690661,
27,q,0.124074,0.1182913,
28,a,0.1161037,0.0875735,
29,q,0.0878838,0.1198237,
30,a,0.119627,0.1144561,
31,q,0.1240097,0.1392208,
32,a,0.1441113,0.1050017,
33,q,0.1198437,0.0842106,
34,a,0.1198818,0.0422436,
35,q,0.143825,0.0815039,
36,a,0.1200916,0.0135924,
37,q,0.1040962,0.0961643,
38,a,0.6280187,0.1157539,
39,q,0.0918891,0.2182061,
40,a,0.1119663,0.0721647,
41,o,0.0954223,0.2883033,
42,l,0.4963834,0.108903,
43,o,0.0922781,0.2346807,
44,l,0.0720674,0.1412679,
45,o,0.0920258,0.1311417,
46,l,0.064063,0.2355981,
47,o,0.0840707,0.1547344,
48,l,0.0797929,0.1238555,
49,o,0.0999996,0.1077095,
50,l,0.1200156,0.1952041,
51,o,0.0477409,0.1230988,
52,l,0.0482363,0.1381278,
53,o,0.0597823,0.1462228,
54,l,0.0761259,0.0532096,
55,o,0.0680244,0.1914545,
56,l,0.0840207,0.0089721,
57,o,0.0802138,0.1015912,
58,l,0.0718949,0.0449042,
59,o,0.1080675,0.3109052,
60,l,0.0719865,0.0356158,
61,w,0.1162364,0.3146392,
62,s,0.0799337,0.093435,
63,w,0.1078221,0.1216977,
64,s,0.1082084,0.0344614,
65,w,0.1077809,0.1208298,
66,s,0.0961919,0.0654108,
67,w,0.0961473,0.1001726,
68,s,0.119686,0.0060812,
69,w,0.0919582,0.1431523,
70,s,0.0959855,0.0879472,
71,w,0.0837197,0.1195865,
72,s,0.0640137,0.079888,
73,w,0.0561631,0.1504079,
74,s,0.091932,0.0553203,
75,w,0.0920436,0.06604,
76,s,0.0519907,0.1652772,
77,w,0.0918448,0.1582731,
78,s,0.7522587,0.0952349,
79,w,0.1200626,0.1734697,
80,s,0.136086,0.0201259,
p/;,2,4,2,
q/;,1,1,0,
o/a,1,1.5,0.5,
w/s,1,1,0,
