回数,入力キー,押下時間,反応時間
1,p,0.11431609999999992,1.1925861000000002
2,p,0.13200570000000056,0.6050590999999996
3,p,0.19612150000000028,0.7508901999999997
4,p,0.13568990000000003,0.5789071999999997
5,p,0.14388360000000056,0.4461827000000005
6,p,0.12391709999999989,0.3971822000000014
7,p,0.13235629999999965,0.7621322999999993
8,p,0.12757120000000022,0.47500430000000016
9,p,0.15996009999999927,0.5587890000000009
10,p,0.14795840000000027,0.6389002000000001
11,q,0.15577889999999783,0.5463139000000012
12,q,0.12839310000000026,0.4982337000000001
13,q,0.14008999999999716,0.5499487000000016
14,q,0.15196810000000127,0.7934012999999993
15,q,0.1481020000000015,0.6306416000000006
16,q,0.15999629999999954,0.43447869999999966
17,q,0.1239964000000029,0.6306429999999992
18,q,0.13588020000000256,0.7267542999999996
19,q,0.1558920999999991,0.4503899000000011
20,q,0.1399598000000033,0.6065821999999983
21,o,0.12386850000000038,1.3609674999999974
22,o,0.10805189999999953,0.4194394999999993
23,o,0.11600399999999667,0.5260556000000065
24,o,0.10797760000000522,0.4989464999999953
25,o,0.11964820000000032,0.45515619999999757
26,o,0.12409610000000271,0.5990283000000005
27,o,0.11589539999999943,0.6844188999999972
28,o,0.06797770000000014,0.43981600000000043
29,o,0.08817070000000626,0.7709912999999986
30,o,0.10005630000000565,0.47948219999999964
31,w,0.12387439999999827,0.6587649000000013
32,w,0.1399866000000003,0.3778098999999955
33,w,0.13198779999999743,0.43406699999999887
34,w,0.12789889999999815,0.5511286999999996
35,w,0.11211690000000374,0.5858891999999969
36,w,0.11998599999999726,0.7910431000000031
37,w,0.12407759999999968,0.5509878000000015
38,w,0.13591089999999895,0.6150893000000011
39,w,0.1160324000000017,0.6720534000000029
40,w,0.14419370000000242,0.5920275000000004
