回数,入力キー,押下時間,反応時間
1,p,0.0989021999999995,3.0086931000000003
2,p,0.0998739999999998,1.2127265000000005
3,p,0.1120669999999997,1.3609912000000008
4,p,0.09124230000000111,1.4176597999999991
5,p,0.11599439999999994,1.4358179
6,p,0.12797310000000195,1.3690125999999978
7,p,0.12796260000000004,1.8491145000000024
8,p,0.16403869999999898,0.5524255999999994
9,p,0.11197749999999829,0.4371557999999993
10,p,0.11991400000000141,0.40934259999999867
11,p,0.1365482,0.6649795999999988
12,p,0.16775980000000246,0.2675921999999993
13,p,0.1320112999999985,0.5190082000000018
14,p,0.11191300000000126,0.6530894999999965
15,p,0.12796550000000195,0.38882579999999933
16,p,0.10398649999999776,0.45217170000000095
17,p,0.08865079999999637,0.5125644000000023
18,p,0.10824800000000323,0.7228017999999992
19,p,0.1279773999999989,0.4946637000000038
20,p,0.1398243000000008,0.6726414999999974
